Sheet,Cell,Formula,Evaluated Value
RevCHACount,EN2,"=_xlfn.XLOOKUP(EN4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,EO2,"=_xlfn.XLOOKUP(EO4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,EP2,"=_xlfn.XLOOKUP(EP4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,EQ2,"=_xlfn.XLOOKUP(EQ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,ER2,"=_xlfn.XLOOKUP(ER4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,ES2,"=_xlfn.XLOOKUP(ES4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,ET2,"=_xlfn.XLOOKUP(ET4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,EU2,"=_xlfn.XLOOKUP(EU4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,EV2,"=_xlfn.XLOOKUP(EV4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,EW2,"=_xlfn.XLOOKUP(EW4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,EX2,"=_xlfn.XLOOKUP(EX4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,EY2,"=_xlfn.XLOOKUP(EY4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,EZ2,"=_xlfn.XLOOKUP(EZ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,FA2,"=_xlfn.XLOOKUP(FA4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,FB2,"=_xlfn.XLOOKUP(FB4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,FC2,"=_xlfn.XLOOKUP(FC4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,FD2,"=_xlfn.XLOOKUP(FD4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,FE2,"=_xlfn.XLOOKUP(FE4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,FF2,"=_xlfn.XLOOKUP(FF4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,FG2,"=_xlfn.XLOOKUP(FG4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,FH2,"=_xlfn.XLOOKUP(FH4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,FI2,"=_xlfn.XLOOKUP(FI4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,FJ2,"=_xlfn.XLOOKUP(FJ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,FK2,"=_xlfn.XLOOKUP(FK4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,FL2,"=_xlfn.XLOOKUP(FL4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,FM2,"=_xlfn.XLOOKUP(FM4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,FN2,"=_xlfn.XLOOKUP(FN4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,FO2,"=_xlfn.XLOOKUP(FO4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,FP2,"=_xlfn.XLOOKUP(FP4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,FQ2,"=_xlfn.XLOOKUP(FQ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,FR2,"=_xlfn.XLOOKUP(FR4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,FS2,"=_xlfn.XLOOKUP(FS4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,FT2,"=_xlfn.XLOOKUP(FT4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,FU2,"=_xlfn.XLOOKUP(FU4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,FV2,"=_xlfn.XLOOKUP(FV4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,FW2,"=_xlfn.XLOOKUP(FW4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,FX2,"=_xlfn.XLOOKUP(FX4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,FY2,"=_xlfn.XLOOKUP(FY4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,FZ2,"=_xlfn.XLOOKUP(FZ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,GA2,"=_xlfn.XLOOKUP(GA4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,GB2,"=_xlfn.XLOOKUP(GB4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,GC2,"=_xlfn.XLOOKUP(GC4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,GD2,"=_xlfn.XLOOKUP(GD4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,GE2,"=_xlfn.XLOOKUP(GE4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,GF2,"=_xlfn.XLOOKUP(GF4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,GG2,"=_xlfn.XLOOKUP(GG4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,GH2,"=_xlfn.XLOOKUP(GH4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,GI2,"=_xlfn.XLOOKUP(GI4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",9
RevCHACount,GJ2,"=_xlfn.XLOOKUP(GJ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",9
RevCHACount,GL2,"=_xlfn.XLOOKUP(GL4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",0
RevCHACount,GM2,"=_xlfn.XLOOKUP(GM4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",0
RevCHACount,GN2,"=_xlfn.XLOOKUP(GN4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,GO2,"=_xlfn.XLOOKUP(GO4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,GP2,"=_xlfn.XLOOKUP(GP4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,GQ2,"=_xlfn.XLOOKUP(GQ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,GR2,"=_xlfn.XLOOKUP(GR4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,GS2,"=_xlfn.XLOOKUP(GS4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,GT2,"=_xlfn.XLOOKUP(GT4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,GU2,"=_xlfn.XLOOKUP(GU4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,GV2,"=_xlfn.XLOOKUP(GV4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,GW2,"=_xlfn.XLOOKUP(GW4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,GX2,"=_xlfn.XLOOKUP(GX4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,GY2,"=_xlfn.XLOOKUP(GY4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,GZ2,"=_xlfn.XLOOKUP(GZ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,HA2,"=_xlfn.XLOOKUP(HA4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,HB2,"=_xlfn.XLOOKUP(HB4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,HC2,"=_xlfn.XLOOKUP(HC4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,HD2,"=_xlfn.XLOOKUP(HD4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,HE2,"=_xlfn.XLOOKUP(HE4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,HF2,"=_xlfn.XLOOKUP(HF4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,HG2,"=_xlfn.XLOOKUP(HG4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,HH2,"=_xlfn.XLOOKUP(HH4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,HI2,"=_xlfn.XLOOKUP(HI4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,HJ2,"=_xlfn.XLOOKUP(HJ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,HK2,"=_xlfn.XLOOKUP(HK4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,HL2,"=_xlfn.XLOOKUP(HL4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,HM2,"=_xlfn.XLOOKUP(HM4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,HN2,"=_xlfn.XLOOKUP(HN4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,HO2,"=_xlfn.XLOOKUP(HO4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,HP2,"=_xlfn.XLOOKUP(HP4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,HQ2,"=_xlfn.XLOOKUP(HQ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,HR2,"=_xlfn.XLOOKUP(HR4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,HS2,"=_xlfn.XLOOKUP(HS4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,HT2,"=_xlfn.XLOOKUP(HT4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,HU2,"=_xlfn.XLOOKUP(HU4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,HV2,"=_xlfn.XLOOKUP(HV4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,HW2,"=_xlfn.XLOOKUP(HW4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,HX2,"=_xlfn.XLOOKUP(HX4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,HY2,"=_xlfn.XLOOKUP(HY4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,HZ2,"=_xlfn.XLOOKUP(HZ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,IA2,"=_xlfn.XLOOKUP(IA4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,IB2,"=_xlfn.XLOOKUP(IB4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,IC2,"=_xlfn.XLOOKUP(IC4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,ID2,"=_xlfn.XLOOKUP(ID4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,IE2,"=_xlfn.XLOOKUP(IE4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,IF2,"=_xlfn.XLOOKUP(IF4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,IG2,"=_xlfn.XLOOKUP(IG4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,IH2,"=_xlfn.XLOOKUP(IH4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,II2,"=_xlfn.XLOOKUP(II4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,IJ2,"=_xlfn.XLOOKUP(IJ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,IK2,"=_xlfn.XLOOKUP(IK4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,IL2,"=_xlfn.XLOOKUP(IL4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,IM2,"=_xlfn.XLOOKUP(IM4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,IN2,"=_xlfn.XLOOKUP(IN4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,IO2,"=_xlfn.XLOOKUP(IO4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,IP2,"=_xlfn.XLOOKUP(IP4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,IQ2,"=_xlfn.XLOOKUP(IQ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,IR2,"=_xlfn.XLOOKUP(IR4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",9
RevCHACount,IS2,"=_xlfn.XLOOKUP(IS4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",9
RevCHACount,IT2,"=_xlfn.XLOOKUP(IT4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",0
RevCHACount,IU2,"=_xlfn.XLOOKUP(IU4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",0
RevCHACount,IV2,"=_xlfn.XLOOKUP(IV4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,IW2,"=_xlfn.XLOOKUP(IW4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,IX2,"=_xlfn.XLOOKUP(IX4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,IY2,"=_xlfn.XLOOKUP(IY4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,IZ2,"=_xlfn.XLOOKUP(IZ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,JA2,"=_xlfn.XLOOKUP(JA4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,JB2,"=_xlfn.XLOOKUP(JB4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,JC2,"=_xlfn.XLOOKUP(JC4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,JD2,"=_xlfn.XLOOKUP(JD4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,JE2,"=_xlfn.XLOOKUP(JE4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,JF2,"=_xlfn.XLOOKUP(JF4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,JG2,"=_xlfn.XLOOKUP(JG4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,JH2,"=_xlfn.XLOOKUP(JH4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,JI2,"=_xlfn.XLOOKUP(JI4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,JJ2,"=_xlfn.XLOOKUP(JJ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,JK2,"=_xlfn.XLOOKUP(JK4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,JL2,"=_xlfn.XLOOKUP(JL4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,JM2,"=_xlfn.XLOOKUP(JM4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,JN2,"=_xlfn.XLOOKUP(JN4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,JO2,"=_xlfn.XLOOKUP(JO4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,JP2,"=_xlfn.XLOOKUP(JP4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,JQ2,"=_xlfn.XLOOKUP(JQ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,JR2,"=_xlfn.XLOOKUP(JR4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,JS2,"=_xlfn.XLOOKUP(JS4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,JT2,"=_xlfn.XLOOKUP(JT4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,JU2,"=_xlfn.XLOOKUP(JU4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,JV2,"=_xlfn.XLOOKUP(JV4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,JW2,"=_xlfn.XLOOKUP(JW4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,JX2,"=_xlfn.XLOOKUP(JX4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,JY2,"=_xlfn.XLOOKUP(JY4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,JZ2,"=_xlfn.XLOOKUP(JZ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,KA2,"=_xlfn.XLOOKUP(KA4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,KB2,"=_xlfn.XLOOKUP(KB4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,KC2,"=_xlfn.XLOOKUP(KC4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,KD2,"=_xlfn.XLOOKUP(KD4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,KE2,"=_xlfn.XLOOKUP(KE4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,KF2,"=_xlfn.XLOOKUP(KF4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,KG2,"=_xlfn.XLOOKUP(KG4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,KH2,"=_xlfn.XLOOKUP(KH4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,KI2,"=_xlfn.XLOOKUP(KI4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,KJ2,"=_xlfn.XLOOKUP(KJ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,KK2,"=_xlfn.XLOOKUP(KK4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,KL2,"=_xlfn.XLOOKUP(KL4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,KM2,"=_xlfn.XLOOKUP(KM4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,KN2,"=_xlfn.XLOOKUP(KN4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,KO2,"=_xlfn.XLOOKUP(KO4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,KP2,"=_xlfn.XLOOKUP(KP4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,KQ2,"=_xlfn.XLOOKUP(KQ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,KR2,"=_xlfn.XLOOKUP(KR4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,KS2,"=_xlfn.XLOOKUP(KS4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,KT2,"=_xlfn.XLOOKUP(KT4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,KU2,"=_xlfn.XLOOKUP(KU4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,KV2,"=_xlfn.XLOOKUP(KV4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,KW2,"=_xlfn.XLOOKUP(KW4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,KX2,"=_xlfn.XLOOKUP(KX4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,KY2,"=_xlfn.XLOOKUP(KY4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,KZ2,"=_xlfn.XLOOKUP(KZ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",9
RevCHACount,LA2,"=_xlfn.XLOOKUP(LA4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",9
RevCHACount,LB2,"=_xlfn.XLOOKUP(LB4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",0
RevCHACount,LC2,"=_xlfn.XLOOKUP(LC4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",0
RevCHACount,LD2,"=_xlfn.XLOOKUP(LD4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,LE2,"=_xlfn.XLOOKUP(LE4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,LF2,"=_xlfn.XLOOKUP(LF4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,LG2,"=_xlfn.XLOOKUP(LG4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,LH2,"=_xlfn.XLOOKUP(LH4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,LI2,"=_xlfn.XLOOKUP(LI4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,LJ2,"=_xlfn.XLOOKUP(LJ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,LK2,"=_xlfn.XLOOKUP(LK4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",1
RevCHACount,LL2,"=_xlfn.XLOOKUP(LL4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,LM2,"=_xlfn.XLOOKUP(LM4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,LN2,"=_xlfn.XLOOKUP(LN4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,LO2,"=_xlfn.XLOOKUP(LO4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,LP2,"=_xlfn.XLOOKUP(LP4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,LQ2,"=_xlfn.XLOOKUP(LQ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,LR2,"=_xlfn.XLOOKUP(LR4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",2
RevCHACount,LS2,"=_xlfn.XLOOKUP(LS4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,LT2,"=_xlfn.XLOOKUP(LT4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,LU2,"=_xlfn.XLOOKUP(LU4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,LV2,"=_xlfn.XLOOKUP(LV4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,LW2,"=_xlfn.XLOOKUP(LW4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,LX2,"=_xlfn.XLOOKUP(LX4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,LY2,"=_xlfn.XLOOKUP(LY4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",3
RevCHACount,LZ2,"=_xlfn.XLOOKUP(LZ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,MA2,"=_xlfn.XLOOKUP(MA4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,MB2,"=_xlfn.XLOOKUP(MB4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,MC2,"=_xlfn.XLOOKUP(MC4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,MD2,"=_xlfn.XLOOKUP(MD4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,ME2,"=_xlfn.XLOOKUP(ME4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,MF2,"=_xlfn.XLOOKUP(MF4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",4
RevCHACount,MG2,"=_xlfn.XLOOKUP(MG4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,MH2,"=_xlfn.XLOOKUP(MH4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,MI2,"=_xlfn.XLOOKUP(MI4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,MJ2,"=_xlfn.XLOOKUP(MJ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,MK2,"=_xlfn.XLOOKUP(MK4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,ML2,"=_xlfn.XLOOKUP(ML4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,MM2,"=_xlfn.XLOOKUP(MM4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",5
RevCHACount,MN2,"=_xlfn.XLOOKUP(MN4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,MO2,"=_xlfn.XLOOKUP(MO4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,MP2,"=_xlfn.XLOOKUP(MP4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,MQ2,"=_xlfn.XLOOKUP(MQ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,MR2,"=_xlfn.XLOOKUP(MR4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,MS2,"=_xlfn.XLOOKUP(MS4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,MT2,"=_xlfn.XLOOKUP(MT4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",6
RevCHACount,MU2,"=_xlfn.XLOOKUP(MU4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,MV2,"=_xlfn.XLOOKUP(MV4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,MW2,"=_xlfn.XLOOKUP(MW4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,MX2,"=_xlfn.XLOOKUP(MX4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,MY2,"=_xlfn.XLOOKUP(MY4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,MZ2,"=_xlfn.XLOOKUP(MZ4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,NA2,"=_xlfn.XLOOKUP(NA4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",7
RevCHACount,NB2,"=_xlfn.XLOOKUP(NB4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,NC2,"=_xlfn.XLOOKUP(NC4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
RevCHACount,ND2,"=_xlfn.XLOOKUP(ND4,Computes!$C$2:$C$181,Computes!$E$2:$E$181)",8
