Deployment Report
Timestamp,20260114_162850
Product,GNR
Source Type,BASELINE
Deployment Type,DebugFramework
Target,Q:\Gaespino\scripts\s2t\Deploys\GNR\dev\DebugFramework
Total Files Scanned,112
Product Filtered,31
Deployed Successfully,81
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
PPV\gui\PPVLoopChecks.py,PPV\gui\PPVLoopChecks.py,No,PPVLoopChecks.py,PPVLoopChecks.py,new,0.0%,-,-,-,-
PPV\api\dpmb.py,PPV\api\dpmb.py,No,dpmb.py,dpmb.py,new,0.0%,-,-,-,-

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content

SKIPPED FILES
File,Reason,Status,Renamed,New Name
UI\Sweep.py,Not selected,new,No,-
UI\TestControlPanel.py,Not selected,new,No,-
Automation_Flow\old_interface.py,Not selected,new,No,-
UI\ExperimentsForm.py,Not selected,new,No,-
Automation_Flow\Flows.json,Not selected,new,No,-
UI\MockControlPanel.py,Not selected,new,No,-
ExecutionHandler\Old_code.py,Not selected,new,No,-
HardwareMocks.py,Not selected,new,No,-
TestFramework.py,Not selected,new,No,-
TestMocks.py,Not selected,new,No,-
PPV\utils\DeveloperEnvironment.py,Not selected,new,No,-
PPV\utils\folder_list.py,Not selected,new,No,-
S2TTestFramework.py,Not selected,new,No,-
UI\TestRunControlPanel.py,Not selected,new,No,-
PPV\run.py,Not selected,new,No,-
Automation_Flow\dummy_structure.json,Not selected,new,No,-
PPV\utils\aqua_report.py,Not selected,new,No,-
Automation_Flow\TestFlow1.py,Not selected,new,No,-
Automation_Flow\AutomationDesigner.py,Not selected,new,No,-
Automation_Flow\example.ini,Not selected,new,No,-
Misc.py,Not selected,new,No,-
Automation_Flow\TestFlow.py,Not selected,new,No,-
S2TMocks.py,Not selected,new,No,-
TestRun.py,Not selected,new,No,-
ExecutionHandler\utils\misc_utils.py,Not selected,new,No,-
Automation_Flow\reference_code_old.py,Not selected,new,No,-
UI\test_config.py,Not selected,new,No,-
ExecutionHandler\utils\EmergencyCleanup.py,Not selected,new,No,-
ExecutionHandler\utils\PanelManager.py,Not selected,new,No,-
ExecutionHandler\utils\ThreadsManager.py,Not selected,new,No,-
ExecutionHandler\utils\FrameworkManager.py,Not selected,new,No,-
