Deployment Report
Timestamp,20260116_092545
Product,CWF
Source Type,BASELINE
Deployment Type,DebugFramework
Target,Q:\Gaespino\scripts\s2t\Deploys\CWF\prod\DebugFramework
Total Files Scanned,102
Product Filtered,95
Deployed Successfully,7
Errors,0

DEPLOYED FILES
UI\StatusHandler.py,Not selected,identical,No,-
Automation_Flow\AutomationDesigner.py,Not selected,new,No,-
EFI\patternfinder.py,Not selected,identical,No,-
TTL\TTL_DragonMesh\MeshContent.ttl,Not selected,identical,No,-
PPV\Decoder\CWF\mse_params.json,Not selected,identical,No,-
ExecutionHandler\utils\misc_utils.py,Not selected,new,No,-
Automation_Flow\AutomationTracker.py,Not selected,identical,No,-
Automation_Flow\example.ini,Not selected,new,No,-
ExecutionHandler\Enums.py,Not selected,identical,No,-
UI\ProcessHandler\ProcessManager.py,Not selected,identical,No,-
TTL\TTL_CustomEFI\Commands.ttl,Not selected,identical,No,-
PPV\parsers\PPVLoopsParser.py,Not selected,identical,No,-
PPV\parsers\MCAparser.py,Not selected,identical,No,-
ExecutionHandler\utils\FrameworkManager.py,Not selected,new,No,-
ExecutionHandler\utils\ThreadsManager.py,Not selected,new,No,-
Storage_Handler\DBUserInterface.py,Not selected,identical,No,-
PPV\parsers\OverviewAnalyzer.py,Not selected,identical,No,-
Storage_Handler\MongoDBCredentials.py,Not selected,identical,No,-
ExecutionHandler\utils\DebugLogger.py,Not selected,identical,No,-
PPV\gui\PPVFileHandler.py,Not selected,identical,No,-
UI\AutomationPanel.py,Not selected,identical,No,-
Automation_Flow\TestFlow.py,Not selected,new,No,-
TTL\TTL_DragonMesh\config.ini,Not selected,identical,No,-
ExecutionHandler\utils\EmergencyCleanup.py,Not selected,new,No,-
ExecutionHandler\Configurations.py,Not selected,identical,No,-
PPV\Decoder\CWF\core_params.json,Not selected,identical,No,-
PPV\gui\PPVDataChecks.py,Not selected,identical,No,-
PPV\utils\aqua_report.py,Not selected,new,No,-
UI\TestRunControlPanel.py,Not selected,new,No,-
Misc.py,Not selected,new,No,-
Automation_Flow\TestFlow1.py,Not selected,new,No,-
PPV\Decoder\CWF\b2cxl_params.json,Not selected,identical,No,-
UI\ProcessHandler\ProcessExecutor.py,Not selected,identical,No,-
PPV\utils\ExcelReportBuilder.py,Not selected,identical,No,-
